    0.0000   -1.6041    2.2271
   -0.3179    0.2573   -1.9482
    1.0950   -1.0565    7.0319
   -1.8740    1.4151  -11.7253
    0.4282   -0.8051    3.5853
    0.8956    0.5287    3.6820
    0.7310    0.2193    3.4330
    0.5779   -0.9219    4.1289
    0.0403   -2.1707    3.3265
    0.6771   -0.0592    3.5371
    0.5689   -1.0106    4.3818
   -0.2556    0.6145   -1.8303
   -0.3775    0.5077   -2.7040
   -0.2959    1.6924   -3.5756
   -1.4751    0.5913   -7.9609
   -0.2340   -0.6436   -0.5936
    0.1184    0.3803   -0.3144
    0.3148   -1.0091    2.9730
    1.4435   -0.0195    7.2096
   -0.3510   -0.0482   -1.6808
